PRISM Time Series Data
Location:  Lat: 39.1506   Lon: -122.3658   Elev: 270m
"Climate variables: ppt,tmin,tmean,tmax,tdmean,vpdmin,vpdmax"
Spatial resolution: 4km
Period: 1981-01-01 - 2019-06-15
Dataset: AN81d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2019-Jul-16
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (mm),tmin (degrees C),tmean (degrees C),tmax (degrees C),tdmean (degrees C),vpdmin (hPa),vpdmax (hPa)
1981-04-28,0.00,11.6,19.8,27.9,4.8,3.76,26.88
1981-04-29,0.00,15.1,23.8,32.4,9.6,5.52,34.02
1981-04-30,0.00,13.9,23.4,33.0,12.2,2.04,33.41
1981-05-01,0.00,12.3,22.2,32.0,12.5,1.89,31.28
1981-05-02,0.00,8.4,18.2,28.1,6.2,1.99,29.08
1981-05-03,0.00,7.2,15.6,24.0,3.1,2.51,19.73
1981-05-04,0.00,5.8,14.9,23.9,3.6,2.06,20.64
1981-05-05,0.00,6.5,14.6,22.7,2.3,2.50,18.89
1981-05-06,0.00,4.7,13.8,23.0,-0.2,1.99,21.06
1981-05-07,0.00,6.9,15.0,23.2,-1.7,2.83,23.16
1981-05-08,0.00,7.6,17.0,26.3,1.2,2.54,26.86
1981-05-09,0.00,10.5,19.4,28.3,6.0,3.30,27.42
1981-05-10,0.00,11.0,20.2,29.4,7.6,3.43,28.93
1981-05-11,0.00,12.8,20.9,29.0,5.9,4.48,28.53
1981-05-12,0.00,10.8,19.8,28.8,2.7,3.69,31.14
1981-05-13,0.00,10.3,20.0,29.8,4.7,3.54,32.04
1981-05-14,0.00,11.5,19.9,28.3,7.4,3.92,28.17
1981-05-15,0.00,10.6,17.4,24.2,5.7,3.54,19.50
1981-05-16,0.00,7.0,15.1,23.2,3.1,2.91,19.45
1981-05-17,0.00,10.1,17.0,23.8,0.3,4.91,23.19
1981-05-18,2.56,11.6,16.8,22.0,8.1,2.26,15.94
1981-05-19,3.30,8.2,13.7,19.1,8.8,0.84,10.96
1981-05-20,1.26,5.6,12.6,19.6,5.8,0.88,13.43
1981-05-21,0.00,8.2,15.2,22.1,6.3,1.49,16.82
1981-05-22,0.00,10.3,17.9,25.4,7.8,2.41,20.27
1981-05-23,0.00,12.8,20.2,27.6,8.7,3.16,25.07
1981-05-24,0.00,15.7,22.4,29.1,11.0,5.08,25.75
1981-05-25,0.62,15.0,21.4,27.8,12.5,2.93,22.28
1981-05-26,1.43,13.2,19.4,25.6,12.3,2.09,18.50
1981-05-27,0.00,13.0,20.0,27.0,11.4,2.32,20.40
1981-05-28,0.00,13.7,23.7,33.8,10.1,3.37,41.16
1981-05-29,0.00,12.8,23.1,33.3,9.6,3.43,39.68
1981-05-30,0.00,13.4,21.9,30.3,9.5,3.93,29.41
1981-05-31,0.00,13.4,22.1,30.9,8.5,4.14,30.05
1981-06-01,0.00,12.9,23.2,33.5,8.6,3.69,40.80
1981-06-02,0.00,15.3,22.5,29.7,8.1,6.37,33.00
1981-06-03,0.00,14.1,21.9,29.7,8.0,4.58,29.43
1981-06-04,0.00,16.0,24.4,32.8,9.0,5.85,37.63
1981-06-05,0.00,18.3,27.7,37.0,10.5,7.67,49.55
1981-06-06,0.00,17.6,27.1,36.6,10.9,5.72,49.19
1981-06-07,0.00,16.1,24.5,32.8,7.5,7.09,37.49
1981-06-08,0.00,15.9,22.5,29.2,9.1,4.81,27.02
1981-06-09,0.00,12.7,20.9,29.1,11.2,1.70,25.89
1981-06-10,0.00,13.5,21.3,29.0,7.6,3.86,28.53
1981-06-11,0.00,13.0,20.7,28.3,6.9,4.26,26.85
1981-06-12,0.00,10.2,19.8,29.4,5.5,3.48,31.49
1981-06-13,0.00,7.6,16.0,24.3,1.9,2.87,22.29
1981-06-14,0.00,10.8,17.6,24.3,1.0,5.37,23.99
1981-06-15,0.00,13.3,20.9,28.4,2.2,6.51,31.68
1981-06-16,0.00,15.1,25.2,35.2,4.9,6.86,48.20
1981-06-17,0.00,12.4,23.8,35.1,5.4,5.12,46.38
1981-06-18,0.00,17.0,25.5,34.1,4.5,9.32,43.62
1981-06-19,0.00,20.8,28.6,36.4,9.6,10.72,46.19
1981-06-20,0.00,19.3,28.5,37.7,11.7,7.73,50.94
1981-06-21,0.00,18.5,28.0,37.6,8.9,7.65,51.65
1981-06-22,0.00,17.1,28.0,38.8,9.3,7.92,56.74
1981-06-23,0.00,18.0,28.2,38.3,7.5,7.76,57.58
1981-06-24,0.00,15.7,26.1,36.6,8.3,6.97,48.31
1981-06-25,0.00,17.2,27.2,37.2,9.5,8.63,53.41
1981-06-26,0.00,17.9,27.6,37.3,11.3,7.16,49.46
1981-06-27,0.00,17.9,27.9,37.8,11.0,7.76,49.78
1981-06-28,0.00,17.0,27.7,38.5,10.4,8.54,54.20
1981-06-29,0.00,16.6,27.3,38.1,10.1,8.33,52.24
1981-06-30,0.00,16.0,25.6,35.3,11.2,5.94,41.18
1981-07-01,0.00,14.5,24.2,34.0,10.6,4.27,41.15
1981-07-02,0.00,16.1,24.9,33.6,9.2,6.51,37.68
1981-07-03,0.00,16.8,26.8,36.7,9.3,8.91,46.49
1981-07-04,0.00,17.8,27.9,37.9,10.1,9.01,50.30
1981-07-05,0.26,20.4,28.2,36.0,10.0,9.79,43.39
1981-07-06,0.00,15.0,23.9,32.9,12.3,4.63,29.77
1981-07-07,0.00,11.0,22.4,33.7,7.8,2.46,37.89
1981-07-08,0.00,12.9,21.7,30.5,3.7,6.17,32.73
1981-07-09,0.00,13.5,24.1,34.7,4.5,6.76,47.39
1981-07-10,0.00,12.2,22.9,33.7,6.5,4.57,40.74
1981-07-11,0.00,12.2,22.1,32.0,5.9,5.24,34.96
1981-07-12,0.00,11.2,21.2,31.3,5.8,4.60,35.20
1981-07-13,0.00,12.4,21.4,30.4,6.2,4.26,31.44
1981-07-14,0.00,13.6,24.7,35.7,6.2,6.36,45.00
1981-07-15,0.00,14.9,26.3,37.7,7.2,7.00,53.15
1981-07-16,0.00,13.3,25.5,37.6,7.4,4.94,54.92
1981-07-17,0.00,12.3,23.4,34.4,8.9,3.16,42.30
1981-07-18,0.00,12.5,22.2,31.9,9.2,3.15,33.53
1981-07-19,0.00,14.7,24.4,34.1,9.0,4.20,40.81
1981-07-20,0.00,14.4,25.5,36.5,8.7,5.68,51.23
1981-07-21,0.00,15.5,26.1,36.7,8.1,7.65,52.30
1981-07-22,0.00,15.9,26.8,37.8,8.1,7.90,55.15
1981-07-23,0.00,15.6,26.6,37.7,9.2,7.70,54.84
1981-07-24,0.00,15.9,27.4,38.9,9.4,7.37,56.71
1981-07-25,0.00,16.0,26.6,37.1,9.1,7.69,52.96
1981-07-26,0.00,16.1,27.2,38.3,9.3,7.91,58.31
1981-07-27,0.00,16.0,27.8,39.5,10.5,6.91,58.52
1981-07-28,0.00,15.9,25.5,35.0,11.2,5.74,39.07
1981-07-29,0.00,15.4,25.1,34.7,11.2,5.23,40.98
1981-07-30,0.00,13.8,23.9,34.1,9.2,5.05,41.28
1981-07-31,0.00,13.2,23.2,33.2,8.9,4.11,39.14
1981-08-01,0.00,13.1,23.1,33.1,8.6,4.49,38.68
1981-08-02,0.00,12.9,22.3,31.7,9.5,3.96,33.27
1981-08-03,0.00,12.8,22.4,32.0,9.4,3.18,33.36
1981-08-04,0.00,13.8,22.7,31.6,9.8,5.16,32.27
1981-08-05,0.00,14.9,23.9,33.0,10.0,5.36,34.58
1981-08-06,0.00,16.1,26.8,37.6,10.0,6.57,48.21
1981-08-07,0.00,18.4,28.9,39.3,10.0,9.35,57.02
1981-08-08,0.00,18.8,31.5,44.1,10.9,9.20,77.68
1981-08-09,0.00,19.5,30.9,42.3,11.6,9.49,64.95
1981-08-10,0.00,17.2,27.8,38.5,12.3,6.66,53.06
1981-08-11,0.00,16.0,24.9,33.8,12.0,5.87,35.10
1981-08-12,0.00,16.1,24.7,33.3,12.6,4.47,33.85
1981-08-13,0.00,15.4,24.5,33.7,12.7,4.15,35.56
1981-08-14,0.00,13.1,22.6,32.1,11.3,2.92,30.69
1981-08-15,0.00,13.7,23.2,32.8,10.7,3.59,32.95
1981-08-16,0.00,15.0,25.1,35.2,10.9,5.24,40.84
1981-08-17,0.00,15.4,27.0,38.5,10.0,6.22,53.43
1981-08-18,0.00,14.8,25.5,36.3,10.4,5.45,48.30
1981-08-19,0.00,12.2,21.9,31.6,10.1,3.00,31.85
1981-08-20,0.00,11.1,19.1,27.0,8.4,2.59,21.24
1981-08-21,0.00,12.6,21.5,30.5,8.3,3.55,29.49
1981-08-22,0.00,13.9,23.7,33.4,8.2,5.22,38.40
1981-08-23,0.00,12.3,23.1,34.0,8.4,3.89,41.48
1981-08-24,0.00,10.7,20.5,30.2,9.3,2.27,25.60
1981-08-25,0.00,11.4,20.8,30.1,9.5,2.93,27.67
1981-08-26,0.00,12.3,21.9,31.5,6.2,4.20,33.93
1981-08-27,0.00,14.6,24.8,34.9,7.1,7.63,41.30
1981-08-28,0.00,15.8,27.7,39.7,7.5,6.64,56.79
1981-08-29,0.00,15.3,26.5,37.7,7.7,8.45,55.43
1981-08-30,0.00,14.3,25.2,36.1,8.7,5.82,44.41
1981-08-31,0.00,13.8,23.6,33.4,9.1,4.94,33.54
1981-09-01,0.00,14.4,25.5,36.6,7.8,6.10,50.77
1981-09-02,0.00,14.1,24.5,35.0,9.0,4.99,44.71
1981-09-03,0.00,12.0,22.9,33.8,9.0,3.44,40.87
1981-09-04,0.00,13.2,23.1,33.1,8.6,4.80,38.76
1981-09-05,0.00,13.9,24.0,34.0,8.1,5.63,41.22
1981-09-06,0.00,14.6,24.9,35.3,6.9,6.09,44.43
1981-09-07,0.00,13.3,25.5,37.6,7.5,4.80,56.88
1981-09-08,0.00,12.5,23.1,33.6,8.9,4.08,37.56
1981-09-09,0.00,14.4,24.4,34.3,9.0,5.72,40.56
1981-09-10,0.00,14.1,24.1,34.1,9.5,5.10,38.47
1981-09-11,0.00,14.7,25.2,35.6,9.4,5.87,42.70
1981-09-12,0.00,14.4,25.9,37.5,9.4,5.88,49.89
1981-09-13,0.00,14.8,24.7,34.6,9.8,5.07,41.79
1981-09-14,0.00,14.2,23.4,32.6,10.2,4.60,34.15
1981-09-15,0.00,14.8,24.2,33.7,10.1,5.37,37.72
1981-09-16,0.00,14.0,23.8,33.6,10.1,4.70,37.40
1981-09-17,0.00,13.9,23.4,32.9,10.5,4.12,33.93
1981-09-18,0.00,14.4,23.7,33.0,10.1,4.77,34.96
1981-09-19,0.00,12.8,23.1,33.5,10.4,3.20,37.43
1981-09-20,0.00,12.2,21.9,31.6,8.2,3.83,33.15
1981-09-21,0.00,11.0,21.1,31.3,6.5,3.61,33.90
1981-09-22,0.00,9.4,20.1,30.8,1.3,3.52,39.07
1981-09-23,0.00,9.9,19.6,29.2,-0.7,5.11,34.24
1981-09-24,0.00,9.8,18.9,27.9,1.4,5.46,30.31
1981-09-25,15.25,9.6,14.0,18.4,6.5,1.54,11.28
1981-09-26,0.00,10.8,16.5,22.3,8.8,1.73,13.76
1981-09-27,0.00,13.4,19.3,25.2,11.2,2.47,17.51
1981-09-28,0.80,9.3,16.7,24.2,12.2,1.00,14.72
1981-09-29,0.00,8.0,15.9,23.8,7.7,1.42,18.15
1981-09-30,0.00,9.1,17.3,25.5,3.8,2.23,24.45
1981-10-01,0.00,11.8,21.0,30.2,4.1,5.92,35.13
1981-10-02,0.00,11.1,20.7,30.3,5.5,3.55,34.72
1981-10-03,0.25,9.9,15.6,21.2,9.9,0.88,12.42
1981-10-04,0.00,6.3,14.1,22.0,6.2,1.36,15.73
1981-10-05,0.00,6.4,14.4,22.4,4.7,1.66,17.16
1981-10-06,0.00,7.2,16.0,24.8,5.6,1.80,21.10
1981-10-07,8.19,8.7,17.1,25.5,8.0,1.37,22.95
1981-10-08,0.00,6.5,13.6,20.6,7.2,0.91,13.71
1981-10-09,0.00,7.0,14.2,21.4,6.6,1.17,14.95
1981-10-10,4.44,8.8,15.3,21.9,8.3,1.35,15.09
1981-10-11,4.64,5.9,12.9,19.8,8.9,0.69,11.79
1981-10-12,0.00,3.6,11.4,19.1,3.7,0.67,14.07
1981-10-13,0.00,3.9,11.0,18.2,1.8,1.16,14.36
1981-10-14,0.00,3.5,10.9,18.3,2.5,1.14,13.59
1981-10-15,0.00,5.1,12.8,20.5,2.3,1.48,17.10
1981-10-16,0.00,4.6,13.4,22.1,1.9,1.84,19.93
1981-10-17,0.00,4.9,14.6,24.3,3.1,1.99,21.65
1981-10-18,0.00,6.6,16.0,25.4,5.2,1.54,21.79
1981-10-19,0.00,7.1,17.7,28.4,5.6,1.93,27.48
1981-10-20,0.00,7.8,17.9,28.0,6.0,2.11,27.18
1981-10-21,0.00,7.7,17.7,27.7,6.7,1.94,25.82
1981-10-22,0.00,7.3,17.4,27.5,7.1,1.31,25.01
1981-10-23,0.00,7.7,17.8,27.9,6.9,1.77,25.33
1981-10-24,0.00,7.5,17.5,27.6,6.3,2.06,25.39
1981-10-25,0.00,6.6,15.6,24.6,6.1,1.43,20.02
1981-10-26,0.00,6.7,15.2,23.7,7.3,1.06,17.57
1981-10-27,1.84,8.5,13.5,18.5,7.1,1.32,10.28
1981-10-28,25.51,9.2,12.6,15.9,8.8,1.08,7.93
1981-10-29,6.61,5.9,11.7,17.4,7.0,0.70,10.03
1981-10-30,0.00,3.4,10.2,17.0,3.2,0.55,11.75
1981-10-31,0.00,5.9,13.2,20.4,3.9,1.73,15.04
1981-11-01,0.00,5.9,14.4,22.8,5.7,1.11,16.50
1981-11-02,0.28,6.7,15.8,24.9,6.1,1.23,19.58
1981-11-03,0.00,5.8,15.3,24.8,6.3,0.96,19.32
1981-11-04,0.00,6.3,15.0,23.8,6.6,0.98,16.85
1981-11-05,0.00,7.0,14.7,22.4,7.0,1.09,15.12
1981-11-06,1.98,9.5,14.3,19.1,8.5,1.24,9.29
1981-11-07,0.00,7.9,14.9,22.0,8.1,0.81,13.84
1981-11-08,0.00,7.1,14.5,21.8,7.4,1.34,12.51
1981-11-09,0.00,6.5,13.7,20.8,7.6,0.96,11.56
1981-11-10,0.60,7.5,14.8,22.0,7.5,1.15,14.47
1981-11-11,2.10,10.2,13.1,16.0,9.4,0.95,5.01
1981-11-12,11.23,11.0,14.8,18.6,9.6,0.86,7.90
1981-11-13,7.67,10.6,13.7,16.8,10.3,1.05,5.72
1981-11-14,35.37,9.5,12.9,16.2,9.5,0.73,6.73
1981-11-15,3.47,9.6,13.1,16.7,7.7,1.34,7.91
1981-11-16,12.68,11.5,14.4,17.3,11.3,1.60,4.91
1981-11-17,9.00,9.9,13.6,17.3,10.5,0.62,6.51
1981-11-18,0.00,1.7,8.8,16.0,4.6,0.23,9.40
1981-11-19,0.00,3.2,9.4,15.6,2.6,0.95,9.26
1981-11-20,0.07,5.5,10.3,15.0,4.5,1.33,7.58
1981-11-21,15.17,8.6,11.5,14.4,7.1,1.50,6.06
1981-11-22,8.81,9.3,12.5,15.7,9.4,0.93,4.75
1981-11-23,8.89,9.8,12.9,16.1,9.1,1.01,6.21
1981-11-24,11.36,8.7,12.7,16.6,10.0,0.62,5.61
1981-11-25,0.05,3.1,8.7,14.3,2.5,1.05,8.63
1981-11-26,1.47,4.1,8.9,13.7,2.2,1.26,7.62
1981-11-27,10.50,4.1,8.0,11.8,2.9,1.03,6.10
1981-11-28,4.17,2.2,5.8,9.5,2.8,0.51,3.47
1981-11-29,0.00,0.1,7.1,14.0,0.4,0.59,9.28
1981-11-30,0.00,0.2,6.7,13.2,1.1,0.67,6.59
1981-12-01,0.00,1.5,7.3,13.1,1.3,0.89,6.93
1981-12-02,0.00,1.1,8.1,15.1,2.3,0.57,8.37
1981-12-03,0.00,1.2,8.7,16.2,3.1,0.51,8.59
1981-12-04,0.00,3.8,9.1,14.4,3.8,0.85,6.79
1981-12-05,0.00,4.1,8.5,12.9,4.6,0.61,5.18
1981-12-06,0.00,4.5,9.1,13.6,4.5,0.73,6.69
1981-12-07,0.93,5.9,9.8,13.7,5.0,0.80,5.87
1981-12-08,0.00,2.1,7.8,13.5,5.5,0.49,4.69
1981-12-09,0.00,2.7,8.7,14.6,4.3,0.30,6.98
1981-12-10,4.98,3.4,8.4,13.4,4.8,0.61,5.91
1981-12-11,0.00,1.0,7.1,13.2,3.3,0.50,6.46
1981-12-12,3.74,2.2,7.9,13.6,2.3,0.81,6.89
1981-12-13,6.26,5.4,8.0,10.6,5.3,1.08,3.38
1981-12-14,2.69,7.2,9.7,12.2,7.4,1.19,4.14
1981-12-15,0.48,9.7,12.4,15.2,9.2,1.15,4.63
1981-12-16,0.00,1.1,8.0,14.8,5.4,0.55,6.15
1981-12-17,0.00,1.2,8.4,15.7,2.4,0.55,9.86
1981-12-18,7.43,2.7,8.8,14.8,4.1,0.62,7.78
1981-12-19,47.22,7.5,10.3,13.1,7.3,0.86,4.03
1981-12-20,21.93,9.7,12.7,15.7,9.3,1.17,5.55
1981-12-21,2.09,6.6,11.4,16.2,6.9,1.04,7.32
1981-12-22,0.00,0.7,7.7,14.6,2.3,0.76,8.77
1981-12-23,0.00,1.3,7.8,14.3,-0.4,1.14,10.24
1981-12-24,0.00,2.7,8.4,14.0,1.3,1.23,8.19
1981-12-25,0.00,3.2,8.5,13.7,2.5,0.93,6.32
1981-12-26,0.00,3.6,8.8,14.1,3.5,0.67,7.22
1981-12-27,0.57,4.3,9.0,13.6,6.1,0.53,5.39
1981-12-28,0.00,2.8,8.1,13.5,0.3,1.30,8.65
1981-12-29,15.86,4.1,7.4,10.7,2.0,0.93,5.59
1981-12-30,8.86,5.0,8.2,11.3,5.4,0.76,4.19
1981-12-31,0.00,4.6,8.5,12.3,5.8,0.18,4.41
1982-01-01,6.16,0.8,6.2,11.6,4.5,0.03,5.34
1982-01-02,13.21,0.0,4.8,9.5,-0.2,0.67,6.08
1982-01-03,0.00,-0.9,3.8,8.6,-2.6,0.71,6.19
1982-01-04,45.15,-0.2,2.4,5.0,-1.1,0.80,3.57
1982-01-05,16.79,-0.1,3.4,6.9,2.4,0.05,2.07
1982-01-06,0.00,-2.2,3.1,8.5,-1.2,0.48,4.59
1982-01-07,0.00,-3.5,2.1,7.7,-7.2,1.15,6.64
1982-01-08,0.00,-3.6,3.5,10.6,-5.8,1.11,8.30
1982-01-09,0.00,-1.8,5.6,13.0,-2.9,0.79,9.11
1982-01-10,0.00,-0.9,6.9,14.8,-1.2,0.89,9.67
1982-01-11,0.00,-0.9,7.1,15.2,-0.0,0.63,8.36
1982-01-12,0.00,1.1,8.4,15.7,0.4,0.85,9.27
1982-01-13,0.00,0.9,7.9,14.9,-1.8,1.33,11.74
1982-01-14,0.00,-1.1,7.0,15.2,-0.3,0.42,11.06
1982-01-15,0.00,-1.2,6.2,13.6,0.6,0.29,6.43
1982-01-16,0.00,0.5,6.1,11.7,0.2,0.57,6.62
1982-01-17,0.00,0.3,3.8,7.2,0.4,0.28,2.53
