FID,FID_1,ID,Shape_Leng,Shape_Area,slp_mean,slp_median,slp_range,FID_2,OBJECTID,CLASSIFICA,Shape_Ar_1,POLY_AREA,PERIMETER,PART_COUNT
30,68,69,10.48496457,7.795887943,34.63958216,34.5269928,5.030529022,0,3,3b,1933772.099,3275260.425,17047.64262,2
31,69,70,17.75714756,20.12418293,26.79385872,26.84366894,7.037286758,0,3,3b,1933772.099,3275260.425,17047.64262,2
32,70,71,15.9945077,17.54644056,23.73553815,23.67384148,11.34205627,0,3,3b,1933772.099,3275260.425,17047.64262,2
33,71,72,27.55196466,36.25265165,27.52359548,27.08955574,5.232578278,0,3,3b,1933772.099,3275260.425,17047.64262,2
34,72,73,34.04458704,66.29529129,28.63567969,28.24119949,11.49136734,0,3,3b,1933772.099,3275260.425,17047.64262,2
35,73,74,11.8132306,7.607699655,29.03364236,31.73633957,15.9301281,0,3,3b,1933772.099,3275260.425,17047.64262,2
36,74,76,7.023519826,3.194678936,41.93052292,42.04904175,1.064105988,0,3,3b,1933772.099,3275260.425,17047.64262,2
37,75,77,6.337909456,2.73217765,36.33088557,36.21343613,3.785354614,0,3,3b,1933772.099,3275260.425,17047.64262,2
38,76,78,15.01324748,14.30861149,39.93706431,40.84316444,12.71796036,0,3,3b,1933772.099,3275260.425,17047.64262,2
39,77,79,8.737888366,5.397704259,39.28066381,38.96780586,1.983058929,0,3,3b,1933772.099,3275260.425,17047.64262,2
40,78,80,6.974982278,3.334577881,41.94758606,40.93211746,3.369876862,0,3,3b,1933772.099,3275260.425,17047.64262,2
41,79,81,50.33221143,147.0870666,36.84493262,38.94929123,38.01789999,0,3,3b,1933772.099,3275260.425,17047.64262,2
42,80,82,29.43525165,18.80974968,38.09686195,38.16136932,10.81650162,0,3,3b,1933772.099,3275260.425,17047.64262,2
43,81,83,18.28183825,20.42601396,39.97875595,41.43679619,20.34245872,0,3,3b,1933772.099,3275260.425,17047.64262,2
44,82,84,19.44235982,17.75523818,46.63674474,46.36947823,4.84217453,0,3,3b,1933772.099,3275260.425,17047.64262,2
45,83,85,14.55840871,13.36044225,44.72199279,47.11109924,18.44174576,0,3,3b,1933772.099,3275260.425,17047.64262,2
46,84,86,28.1085296,29.7780463,40.91497882,40.14353561,12.70061874,0,3,3b,1933772.099,3275260.425,17047.64262,2
47,85,87,25.86966107,26.85557134,40.88033567,40.59469032,8.375244141,0,3,3b,1933772.099,3275260.425,17047.64262,2
48,86,88,27.36196696,32.50657463,40.0307374,39.35742569,7.94878006,0,3,3b,1933772.099,3275260.425,17047.64262,2
49,87,89,12.60613624,7.666419208,36.18829473,36.32080841,5.162181854,0,3,3b,1933772.099,3275260.425,17047.64262,2
50,88,90,17.92249728,22.57223625,26.44543587,26.36982727,2.996154785,0,3,3b,1933772.099,3275260.425,17047.64262,2
51,89,91,4.959817499,1.77520021,33.82382774,33.82382774,2.8840065,0,3,3b,1933772.099,3275260.425,17047.64262,2
52,90,92,8.654338426,5.307804658,30.67882156,31.93606377,10.76538849,0,3,3b,1933772.099,3275260.425,17047.64262,2
53,91,93,7.981525776,3.37347763,39.16285515,38.93492317,4.139003754,0,3,3b,1933772.099,3275260.425,17047.64262,2
54,92,94,6.505417848,2.086421156,40.09814817,40.14943695,2.025802612,0,3,3b,1933772.099,3275260.425,17047.64262,2
55,136,138,9.259851301,5.819188204,29.06501802,29.73603439,4.149599075,0,3,3b,1933772.099,3275260.425,17047.64262,2
56,137,139,20.98118947,24.62266558,29.06981216,29.22206497,6.777162552,0,3,3b,1933772.099,3275260.425,17047.64262,2
57,138,140,44.89707789,88.11106024,24.77695887,24.59515953,4.668453217,0,3,3b,1933772.099,3275260.425,17047.64262,2
58,139,141,13.18679574,12.42199182,29.28373114,29.29978848,2.276628494,0,3,3b,1933772.099,3275260.425,17047.64262,2
59,140,143,6.00134086,2.2343954,32.8635453,34.10251236,18.51066017,0,3,3b,1933772.099,3275260.425,17047.64262,2
60,141,142,7.284822107,3.769681555,33.39452489,32.35605621,3.476535797,0,3,3b,1933772.099,3275260.425,17047.64262,2
61,142,144,11.13658246,5.70850545,26.77664452,26.23620605,2.871530533,0,3,3b,1933772.099,3275260.425,17047.64262,2
62,143,145,11.99913244,9.727830904,27.32423231,28.1316185,6.238069534,0,3,3b,1933772.099,3275260.425,17047.64262,2
63,144,146,26.90195695,36.35033238,34.98128236,36.29081345,21.34749222,0,3,3b,1933772.099,3275260.425,17047.64262,2
64,228,528,9.573974845,6.336572283,27.50730769,28.19794846,6.370313644,0,3,3b,1933772.099,3275260.425,17047.64262,2
65,229,529,5.104043622,1.720059555,29.17018509,29.17018509,3.101455688,0,3,3b,1933772.099,3275260.425,17047.64262,2
66,231,531,9.257562265,6.123999975,28.28391361,28.65503693,6.655902863,0,3,3b,1933772.099,3275260.425,17047.64262,2
67,232,532,7.102069866,3.34260408,31.02561808,31.94292068,5.526479721,0,3,3b,1933772.099,3275260.425,17047.64262,2
68,233,533,18.32446558,24.26430627,31.23961473,30.72485733,9.414390564,0,3,3b,1933772.099,3275260.425,17047.64262,2
69,234,534,5.924645207,2.455792385,24.1912028,25.0332222,2.622894287,0,3,3b,1933772.099,3275260.425,17047.64262,2
70,235,535,13.06061516,10.97579509,40.66356982,40.48700714,6.215206146,0,3,3b,1933772.099,3275260.425,17047.64262,2
71,236,536,9.036216141,5.851492195,34.68895285,33.37796402,10.11123466,0,3,3b,1933772.099,3275260.425,17047.64262,2
72,334,0,8.743498919,4.804133178,34.04790726,34.01504517,2.027946472,0,3,3b,1933772.099,3275260.425,17047.64262,2
73,335,0,16.39773685,16.21145747,37.17060403,36.81804276,3.318675995,0,3,3b,1933772.099,3275260.425,17047.64262,2
74,336,0,7.477472296,4.08979749,33.30673885,33.35142326,1.413246155,0,3,3b,1933772.099,3275260.425,17047.64262,2
75,337,0,4.15924019,1.155236981,40.06304656,39.24031067,2.469230652,0,3,3b,1933772.099,3275260.425,17047.64262,2
76,339,0,8.321721535,4.681948842,40.14472237,40.1566658,15.32595253,0,3,3b,1933772.099,3275260.425,17047.64262,2
77,340,0,15.17604061,16.29477877,33.68805778,33.31792641,7.57938385,0,3,3b,1933772.099,3275260.425,17047.64262,2
78,351,0,11.46254828,9.136455653,39.31330681,39.02194214,6.529224396,0,3,3b,1933772.099,3275260.425,17047.64262,2
79,352,0,5.455390064,2.094808443,35.87915611,35.87915611,0.033390045,0,3,3b,1933772.099,3275260.425,17047.64262,2
80,353,0,8.481469335,3.905305313,40.86239751,40.63154221,0.93687439,0,3,3b,1933772.099,3275260.425,17047.64262,2
81,354,0,10.40299119,7.261934621,36.28240095,36.50130081,7.067131042,0,3,3b,1933772.099,3275260.425,17047.64262,2
82,356,0,18.25310411,14.94534522,40.50654297,41.01673126,4.157142639,0,3,3b,1933772.099,3275260.425,17047.64262,2
83,357,0,7.257780357,3.22377263,38.36539332,38.44947433,0.544265747,0,3,3b,1933772.099,3275260.425,17047.64262,2
84,363,0,9.525094967,6.659813276,30.58247789,31.9056673,8.747406006,0,3,3b,1933772.099,3275260.425,17047.64262,2
85,364,0,30.21212774,54.91299919,35.08272052,34.90161896,12.67123795,0,3,3b,1933772.099,3275260.425,17047.64262,2
86,365,0,9.105591375,5.497498307,33.89621506,34.55691147,13.63553047,0,3,3b,1933772.099,3275260.425,17047.64262,2
87,366,0,15.11928094,13.22640832,31.38716903,31.99275208,9.714559555,0,3,3b,1933772.099,3275260.425,17047.64262,2
88,367,0,14.34408391,14.10435297,38.7873467,40.23031425,10.92190933,0,3,3b,1933772.099,3275260.425,17047.64262,2
89,368,0,31.00635922,50.5014454,34.31468444,33.58465576,11.10945129,0,3,3b,1933772.099,3275260.425,17047.64262,2
90,369,0,16.51627541,18.70518928,42.28900167,41.83456039,9.511253357,0,3,3b,1933772.099,3275260.425,17047.64262,2
91,370,0,7.392793329,3.813570096,39.1727829,39.53053284,2.011222839,0,3,3b,1933772.099,3275260.425,17047.64262,2
92,371,0,7.347803626,3.33589114,37.67558161,37.86277008,0.812335968,0,3,3b,1933772.099,3275260.425,17047.64262,2
93,374,0,12.83646289,11.51491662,41.03556962,41.20791245,9.641189575,0,3,3b,1933772.099,3275260.425,17047.64262,2
94,375,0,62.88114465,216.6870696,26.85586736,26.30101395,17.49185371,0,3,3b,1933772.099,3275260.425,17047.64262,2
95,376,0,33.06941814,63.94274978,37.05108173,35.29959106,17.11263275,0,3,3b,1933772.099,3275260.425,17047.64262,2
96,377,0,30.99727871,58.1349438,33.1418201,33.08759308,14.0186615,0,3,3b,1933772.099,3275260.425,17047.64262,2
97,378,0,29.66139226,36.88040908,35.63330919,35.25278854,11.98323059,0,3,3b,1933772.099,3275260.425,17047.64262,2
98,379,0,23.61486473,35.7470635,31.03774452,34.37349319,17.19484138,0,3,3b,1933772.099,3275260.425,17047.64262,2
99,380,0,18.98158994,24.42080892,33.37170193,33.43855095,6.832307816,0,3,3b,1933772.099,3275260.425,17047.64262,2
100,381,0,20.01343284,25.53207931,34.2507875,34.37568665,4.171104431,0,3,3b,1933772.099,3275260.425,17047.64262,2
101,382,0,19.12888093,26.91259508,32.43887652,32.49345303,17.70894051,0,3,3b,1933772.099,3275260.425,17047.64262,2
102,383,0,32.24021666,63.89613902,45.15686361,45.80790138,11.48225784,0,3,3b,1933772.099,3275260.425,17047.64262,2
103,394,0,7.77081439,4.532341869,29.91778278,30.4876442,10.26260757,0,3,3b,1933772.099,3275260.425,17047.64262,2
104,395,0,4.901633755,1.658264744,34.90805435,34.90805435,2.565551758,0,3,3b,1933772.099,3275260.425,17047.64262,2
105,396,0,8.904519838,5.471839132,41.40602748,42.22814178,6.712791443,0,3,3b,1933772.099,3275260.425,17047.64262,2
106,397,0,7.211471812,3.30450755,38.93180974,39.13631821,1.05960083,0,3,3b,1933772.099,3275260.425,17047.64262,2
107,398,0,9.114826645,5.859157299,39.1630497,39.25496864,2.704273224,0,3,3b,1933772.099,3275260.425,17047.64262,2
108,399,0,6.248009619,2.63828692,41.59096018,40.09194183,9.986930847,0,3,3b,1933772.099,3275260.425,17047.64262,2
109,405,0,31.37473981,41.54535387,26.10930006,26.1679554,7.942121506,0,3,3b,1933772.099,3275260.425,17047.64262,2
110,406,0,18.61407586,22.78848822,24.30164631,24.03113937,5.3705616,0,3,3b,1933772.099,3275260.425,17047.64262,2
111,407,0,8.564021993,4.62909102,24.40764084,23.79713821,7.026731491,0,3,3b,1933772.099,3275260.425,17047.64262,2
112,408,0,14.39162734,12.18505166,29.31670449,29.7656765,12.17875481,0,3,3b,1933772.099,3275260.425,17047.64262,2
113,409,0,29.91815399,33.98467676,25.70592277,26.12662125,14.64730072,0,3,3b,1933772.099,3275260.425,17047.64262,2
114,410,0,24.14040366,30.63605621,23.51626325,24.10911083,12.63516045,0,3,3b,1933772.099,3275260.425,17047.64262,2
115,411,0,18.42841573,19.91643876,25.82454069,25.73217964,5.699197769,0,3,3b,1933772.099,3275260.425,17047.64262,2
116,412,0,11.52861254,8.361135126,26.14797783,26.03568268,1.556026459,0,3,3b,1933772.099,3275260.425,17047.64262,2
117,413,0,41.52112647,104.973738,24.84244231,25.57738781,14.44114304,0,3,3b,1933772.099,3275260.425,17047.64262,2
118,414,0,17.72258466,22.3247238,24.34389106,24.46940804,8.1873703,0,3,3b,1933772.099,3275260.425,17047.64262,2
119,415,0,6.625494367,2.698147245,31.25281906,29.98536873,5.209043503,0,3,3b,1933772.099,3275260.425,17047.64262,2
120,416,0,9.511492536,4.780372769,32.21347923,32.63317108,3.610218048,0,3,3b,1933772.099,3275260.425,17047.64262,2
121,417,0,6.686774851,2.95981614,20.71109772,20.71109772,1.68875885,0,3,3b,1933772.099,3275260.425,17047.64262,2
122,418,0,10.08388128,6.478270593,14.42786336,13.50158167,19.44574308,0,3,3b,1933772.099,3275260.425,17047.64262,2
123,419,0,16.19058993,17.61604036,23.82696982,23.46653366,3.965642929,0,3,3b,1933772.099,3275260.425,17047.64262,2
124,420,0,28.77372301,53.95388449,20.94497949,20.53651237,8.727577209,0,3,3b,1933772.099,3275260.425,17047.64262,2
125,421,0,23.48312766,27.31170675,25.52691445,26.28840256,12.52171326,0,3,3b,1933772.099,3275260.425,17047.64262,2
126,422,0,12.07028324,9.447909585,28.26196728,27.90127754,2.729017258,0,3,3b,1933772.099,3275260.425,17047.64262,2
127,423,0,32.7160577,69.03840799,21.63853758,22.47517681,23.10733223,0,3,3b,1933772.099,3275260.425,17047.64262,2
128,424,0,42.0833574,52.62207876,19.38392321,20.02845764,15.54921913,0,3,3b,1933772.099,3275260.425,17047.64262,2
129,425,0,10.08309066,6.445914837,28.06756687,26.38150692,6.739442825,0,3,3b,1933772.099,3275260.425,17047.64262,2
130,426,0,6.565490425,2.634046699,28.51736768,28.83744621,7.983280182,0,3,3b,1933772.099,3275260.425,17047.64262,2
131,434,0,16.90725446,17.79685846,31.54063479,31.63883495,9.633161545,0,3,3b,1933772.099,3275260.425,17047.64262,2
132,435,0,7.67668873,4.20551074,45.11441116,45.60625839,8.984466553,0,3,3b,1933772.099,3275260.425,17047.64262,2
133,436,0,17.88777944,22.64955917,24.30983621,24.45868778,10.20852661,0,3,3b,1933772.099,3275260.425,17047.64262,2
134,437,0,20.19159191,24.48058126,25.00300654,24.46161652,7.560806274,0,3,3b,1933772.099,3275260.425,17047.64262,2
135,438,0,4.739845038,1.498415785,43.03430185,40.9948101,6.121120453,0,3,3b,1933772.099,3275260.425,17047.64262,2
136,439,0,11.1625086,7.394570831,38.58796746,38.91881943,4.777198792,0,3,3b,1933772.099,3275260.425,17047.64262,2
137,440,0,8.962079235,5.49248869,40.08158557,39.70968437,5.285022736,0,3,3b,1933772.099,3275260.425,17047.64262,2
138,441,0,14.23808001,14.34450029,41.74246267,42.00319672,5.811885834,0,3,3b,1933772.099,3275260.425,17047.64262,2
139,442,0,6.699327206,2.850453645,43.68803406,43.53502274,2.433872223,0,3,3b,1933772.099,3275260.425,17047.64262,2
140,443,0,6.945148989,3.132178945,41.58859507,44.19824982,8.396232605,0,3,3b,1933772.099,3275260.425,17047.64262,2
141,444,0,10.63610408,4.15941862,38.07728863,38.21504974,0.998317719,0,3,3b,1933772.099,3275260.425,17047.64262,2
142,445,0,5.995041619,2.415982381,37.12223053,36.28816223,4.556549072,0,3,3b,1933772.099,3275260.425,17047.64262,2
143,446,0,8.15884116,3.944743471,42.59939003,42.59939003,1.119716644,0,3,3b,1933772.099,3275260.425,17047.64262,2
144,447,0,4.508087221,1.339838006,35.28323936,35.28323936,1.913181305,0,3,3b,1933772.099,3275260.425,17047.64262,2
145,448,0,12.40114159,8.190905216,41.56599188,41.94174385,10.01222992,0,3,3b,1933772.099,3275260.425,17047.64262,2
146,449,0,11.57914374,7.725081915,43.55315399,44.45576859,6.423965454,0,3,3b,1933772.099,3275260.425,17047.64262,2
147,450,0,6.362468664,2.728180841,38.48334376,38.64705276,1.637359619,0,3,3b,1933772.099,3275260.425,17047.64262,2
148,451,0,7.048197623,2.813908309,34.86683528,34.92400742,0.596954346,0,3,3b,1933772.099,3275260.425,17047.64262,2
149,452,0,4.666256839,1.53151946,35.46786274,35.75666428,4.776390076,0,3,3b,1933772.099,3275260.425,17047.64262,2
150,453,0,6.497781901,2.725942551,41.90367635,41.31437683,2.859596252,0,3,3b,1933772.099,3275260.425,17047.64262,2
151,454,0,6.697458939,3.023218797,39.73996162,39.73996162,1.38275528,0,3,3b,1933772.099,3275260.425,17047.64262,2
152,455,0,14.48731665,12.32950506,39.5217951,39.89892197,6.704650879,0,3,3b,1933772.099,3275260.425,17047.64262,2
153,457,0,5.573496711,1.765651729,37.39008522,37.39008522,0.703502655,0,3,3b,1933772.099,3275260.425,17047.64262,2
154,458,0,7.574125652,3.923573224,35.1558423,35.32725525,8.830327988,0,3,3b,1933772.099,3275260.425,17047.64262,2
155,459,0,5.791852591,2.255898906,36.18482018,36.18482018,1.005893707,0,3,3b,1933772.099,3275260.425,17047.64262,2
156,460,0,5.022113116,1.732914889,38.70230675,38.70230675,1.249843597,0,3,3b,1933772.099,3275260.425,17047.64262,2
157,461,0,18.5940179,24.95107723,36.34869286,37.25102234,13.0074234,0,3,3b,1933772.099,3275260.425,17047.64262,2
158,462,0,11.75679737,9.354616442,30.68777188,30.11257553,5.435754776,0,3,3b,1933772.099,3275260.425,17047.64262,2
159,463,0,9.792504172,5.030753279,39.8782074,39.51914978,2.745956421,0,3,3b,1933772.099,3275260.425,17047.64262,2
160,464,0,8.722694656,4.46214359,42.2238102,42.54848671,3.302455902,0,3,3b,1933772.099,3275260.425,17047.64262,2
161,465,0,16.49422792,19.23679151,37.64764736,38.28132629,9.944662094,0,3,3b,1933772.099,3275260.425,17047.64262,2
162,466,0,34.29911336,82.92237706,34.63989417,34.46530724,14.62281418,0,3,3b,1933772.099,3275260.425,17047.64262,2
163,467,0,79.40000467,257.9258349,31.98767655,32.13936806,8.424970627,0,3,3b,1933772.099,3275260.425,17047.64262,2
164,468,0,23.34602927,30.45560385,28.78992298,28.90425682,9.366847992,0,3,3b,1933772.099,3275260.425,17047.64262,2
165,469,0,21.57823203,29.90533551,21.66505521,19.60459995,15.9347496,0,3,3b,1933772.099,3275260.425,17047.64262,2
166,470,0,16.07715998,14.05831791,32.08285577,32.23925495,8.999746323,0,3,3b,1933772.099,3275260.425,17047.64262,2
167,471,0,9.659829077,4.389369635,41.20036793,41.38142395,2.961345673,0,3,3b,1933772.099,3275260.425,17047.64262,2
168,472,0,8.860279204,4.294256354,45.59958744,45.61219788,2.76543045,0,3,3b,1933772.099,3275260.425,17047.64262,2
169,476,0,16.57656155,20.32533136,39.01116986,39.2485714,4.074611664,0,3,3b,1933772.099,3275260.425,17047.64262,2
170,477,0,4.288703181,1.274865029,35.91676712,35.91676712,0.03742218,0,3,3b,1933772.099,3275260.425,17047.64262,2
171,478,0,10.18101362,5.890859942,40.42053318,40.40372276,2.187515259,0,3,3b,1933772.099,3275260.425,17047.64262,2
172,479,0,9.750456397,4.537064085,42.33009529,42.15245056,4.092575073,0,3,3b,1933772.099,3275260.425,17047.64262,2
173,480,0,15.7694866,10.35309578,40.38629799,40.40774536,5.814590454,0,3,3b,1933772.099,3275260.425,17047.64262,2
174,481,0,7.492337487,3.899601067,30.93162689,31.05020714,9.316738129,0,3,3b,1933772.099,3275260.425,17047.64262,2
175,482,0,4.360820715,1.28909824,34.42265886,34.31313133,4.203622818,0,3,3b,1933772.099,3275260.425,17047.64262,2
176,483,0,4.1695696,1.230598955,36.76364708,36.76364708,0.939945221,0,3,3b,1933772.099,3275260.425,17047.64262,2
177,484,0,6.859994448,2.880149126,32.85703468,32.85703468,1.360668182,0,3,3b,1933772.099,3275260.425,17047.64262,2
178,485,0,5.15217006,1.668243999,37.50317574,37.50317574,4.141056061,0,3,3b,1933772.099,3275260.425,17047.64262,2
179,486,0,10.71575596,6.91759023,36.93900553,37.31397629,4.645046234,0,3,3b,1933772.099,3275260.425,17047.64262,2
180,487,0,22.03945423,16.51983048,37.4340183,37.38398743,3.956806183,0,3,3b,1933772.099,3275260.425,17047.64262,2
181,488,0,7.566586546,3.934921725,31.70877266,32.02365112,11.50602722,0,3,3b,1933772.099,3275260.425,17047.64262,2
182,489,0,19.22729327,23.19906237,40.54194329,41.2006321,8.05620575,0,3,3b,1933772.099,3275260.425,17047.64262,2
183,490,0,6.581644359,2.236206274,37.95015049,37.96910858,4.533603668,0,3,3b,1933772.099,3275260.425,17047.64262,2
184,491,0,8.783207858,5.649140776,43.51284409,44.50777626,6.70022583,0,3,3b,1933772.099,3275260.425,17047.64262,2
185,498,0,5.567848616,1.859751291,32.91155705,32.41160965,5.791460037,0,3,3b,1933772.099,3275260.425,17047.64262,2
186,499,0,6.728968876,2.947022298,30.06041463,30.45911217,4.900129318,0,3,3b,1933772.099,3275260.425,17047.64262,2
187,500,0,4.810378726,1.316771319,32.65250631,32.58824539,16.91245842,0,3,3b,1933772.099,3275260.425,17047.64262,2
188,549,0,15.21106016,16.00137443,47.03141546,48.35626984,9.590332031,0,3,3b,1933772.099,3275260.425,17047.64262,2
189,550,0,10.56517919,7.904003751,35.68051958,35.59613991,5.508384705,0,3,3b,1933772.099,3275260.425,17047.64262,2
190,14,15,9.656006653,5.579620469,33.97617912,34.27791595,1.357769012,1,4,3c,324801.6195,751225.5912,18486.84349,4
191,15,16,8.322058619,4.45991862,37.52128296,38.0007019,2.42325592,1,4,3c,324801.6195,751225.5912,18486.84349,4
192,16,17,18.63186638,17.5953073,33.7927448,34.20162582,3.098587036,1,4,3c,324801.6195,751225.5912,18486.84349,4
193,17,18,6.894069507,3.344700579,35.28686142,35.51424408,3.943687439,1,4,3c,324801.6195,751225.5912,18486.84349,4
194,28,29,22.56850411,31.02551461,28.29784813,27.73456192,13.59331703,1,4,3c,324801.6195,751225.5912,18486.84349,4
195,29,30,13.35282314,11.2633706,42.4734691,43.36936569,11.55677414,1,4,3c,324801.6195,751225.5912,18486.84349,4
196,30,31,11.32696074,8.236016366,34.68111256,33.95928574,5.140220642,1,4,3c,324801.6195,751225.5912,18486.84349,4
197,31,32,6.734102367,2.763785905,36.27106667,36.27106667,2.45382309,1,4,3c,324801.6195,751225.5912,18486.84349,4
198,32,33,9.304497719,6.075951084,25.60685883,26.66867638,18.74687386,1,4,3c,324801.6195,751225.5912,18486.84349,4
199,33,34,5.836624189,2.400758321,38.23441823,38.68942642,2.754375458,1,4,3c,324801.6195,751225.5912,18486.84349,4
200,48,49,11.47153971,8.693816047,33.49512386,33.58011627,4.995248795,1,4,3c,324801.6195,751225.5912,18486.84349,4
201,50,51,55.34188838,173.2818659,35.9182331,36.75629807,16.76830673,1,4,3c,324801.6195,751225.5912,18486.84349,4
202,55,56,13.32935131,5.689551989,33.62114498,33.57300186,8.121473312,1,4,3c,324801.6195,751225.5912,18486.84349,4
203,223,522,17.13587301,17.3720439,27.10021491,26.34522247,6.923460007,1,4,3c,324801.6195,751225.5912,18486.84349,4
204,224,523,5.143881957,1.8541746,36.4371109,36.4371109,1.068916321,1,4,3c,324801.6195,751225.5912,18486.84349,4
205,225,525,11.84077766,10.05996032,26.4908102,26.55492878,6.741540909,1,4,3c,324801.6195,751225.5912,18486.84349,4
206,226,526,6.918631438,3.316817103,32.30098534,32.046978,2.736917496,1,4,3c,324801.6195,751225.5912,18486.84349,4
207,227,527,57.46631293,190.4529378,24.72475248,24.77500534,8.933807373,1,4,3c,324801.6195,751225.5912,18486.84349,4
208,230,530,9.839205951,6.857660452,25.28913198,26.58406258,7.283388138,1,4,3c,324801.6195,751225.5912,18486.84349,4
209,372,0,25.15409653,37.08666736,39.52497525,39.81236649,8.954650879,1,4,3c,324801.6195,751225.5912,18486.84349,4
210,373,0,16.61703807,14.30387172,24.22978255,24.87262917,22.87036228,1,4,3c,324801.6195,751225.5912,18486.84349,4
211,384,0,24.42375065,40.21916889,33.28041215,33.87329102,15.84314919,1,4,3c,324801.6195,751225.5912,18486.84349,4
212,385,0,29.66901134,52.73412046,31.25610611,30.77632523,12.08200455,1,4,3c,324801.6195,751225.5912,18486.84349,4
213,400,0,31.27811059,68.15240316,26.79605056,27.00118828,7.936594009,1,4,3c,324801.6195,751225.5912,18486.84349,4
214,402,0,9.730216482,6.882479994,26.03708204,26.4922905,10.08996773,1,4,3c,324801.6195,751225.5912,18486.84349,4
215,404,0,26.10254191,40.33910789,43.8973222,43.03005791,17.41766739,1,4,3c,324801.6195,751225.5912,18486.84349,4
216,427,0,12.54535913,10.21059821,38.26126862,38.90849495,8.019424438,1,4,3c,324801.6195,751225.5912,18486.84349,4
217,428,0,13.77728189,10.57424472,41.71118164,42.11750412,10.13186264,1,4,3c,324801.6195,751225.5912,18486.84349,4
218,429,0,11.68101777,9.800128216,46.79259262,47.02439308,5.152511597,1,4,3c,324801.6195,751225.5912,18486.84349,4
