PRISM Time Series Data
Location:  Lat: 39.1506   Lon: -122.3658   Elev: 270m
"Climate variables: ppt,tmin,tmean,tmax,tdmean,vpdmin,vpdmax"
Spatial resolution: 4km
Period: 2018-07-01 - 2019-06-15
Dataset: AN81d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2019-Jul-16
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (mm),tmin (degrees C),tmean (degrees C),tmax (degrees C),tdmean (degrees C),vpdmin (hPa),vpdmax (hPa)
2018-08-16,0.00,14.6,23.5,32.3,11.5,4.06,36.87
2018-08-17,0.00,15.0,24.5,34.0,10.2,4.49,45.84
2018-08-18,0.00,15.9,26.1,36.3,9.7,7.86,53.28
2018-08-19,0.00,16.6,26.7,36.7,9.3,9.10,53.83
2018-08-20,0.00,15.9,25.6,35.2,9.0,8.40,48.20
2018-08-21,0.00,14.5,24.5,34.6,8.9,5.19,47.91
2018-08-22,0.00,12.9,20.8,28.7,11.1,2.80,27.80
2018-08-23,0.00,12.7,21.6,30.5,11.6,2.51,32.50
2018-08-24,0.00,13.1,21.3,29.5,11.0,2.95,30.41
2018-08-25,0.00,12.6,20.6,28.7,10.9,2.28,29.04
2018-08-26,0.00,12.6,21.6,30.6,10.3,3.97,34.52
2018-08-27,0.00,13.2,21.6,30.0,10.2,3.33,32.87
2018-08-28,0.00,12.6,20.3,27.9,10.8,2.71,26.63
2018-08-29,0.00,12.5,20.5,28.6,11.8,1.85,26.60
2018-08-30,0.00,11.8,20.3,28.8,11.5,1.66,27.19
2018-08-31,0.00,11.2,19.2,27.2,10.8,1.70,24.84
2018-09-01,0.00,12.8,22.0,31.2,11.0,1.05,20.89
2018-09-02,0.00,13.8,24.2,34.6,9.3,2.36,28.59
2018-09-03,0.00,14.9,24.9,35.0,9.8,3.08,28.51
2018-09-04,0.00,14.7,24.9,35.1,10.4,2.70,27.80
2018-09-05,0.00,14.4,24.0,33.6,10.1,2.64,25.24
2018-09-06,0.00,13.0,23.3,33.5,8.4,2.10,26.52
2018-09-07,0.00,12.1,22.5,32.8,8.8,2.00,25.04
2018-09-08,0.00,14.5,25.2,35.9,7.8,3.19,32.05
2018-09-09,0.00,14.3,24.1,33.8,7.4,3.07,28.80
2018-09-10,0.00,13.5,24.0,34.5,7.1,2.92,30.38
2018-09-11,0.00,12.8,23.4,34.0,6.8,2.93,28.95
2018-09-12,0.00,10.9,21.1,31.4,4.9,2.01,24.61
2018-09-13,0.00,9.6,17.7,25.7,6.5,1.50,15.42
2018-09-14,0.00,9.6,17.6,25.6,7.8,1.06,14.54
2018-09-15,0.00,9.0,18.0,26.9,5.9,1.10,17.87
2018-09-16,0.00,8.4,17.3,26.2,6.0,1.06,16.68
2018-09-17,0.00,7.4,17.1,26.9,6.6,0.62,16.91
2018-09-18,0.00,8.6,18.1,27.5,6.7,1.30,17.70
2018-09-19,0.00,8.7,18.5,28.3,6.7,1.29,19.16
2018-09-20,0.00,10.0,20.5,30.9,4.5,1.69,24.01
2018-09-21,0.00,11.7,22.4,33.1,1.9,3.34,29.10
2018-09-22,0.00,11.3,22.2,33.0,4.1,3.03,27.84
2018-09-23,0.00,10.7,21.3,31.8,5.2,2.67,25.02
2018-09-24,0.00,10.5,20.6,30.7,6.0,2.18,22.87
2018-09-25,0.00,11.5,22.4,33.3,1.4,2.78,29.29
2018-09-26,0.00,12.2,23.6,35.0,0.7,4.03,33.35
2018-09-27,0.00,12.6,24.1,35.7,1.5,4.62,34.56
2018-09-28,0.00,12.6,24.0,35.3,4.5,3.69,32.20
2018-09-29,0.00,9.9,20.3,30.6,8.0,0.77,21.93
2018-09-30,0.00,10.0,16.5,23.0,10.2,0.60,9.97
2018-10-01,0.00,13.4,19.5,25.7,10.5,0.50,14.89
2018-10-02,0.00,13.6,19.0,24.3,11.5,0.33,12.32
2018-10-03,3.13,15.1,20.4,25.8,15.6,0.29,10.68
2018-10-04,2.72,14.4,20.0,25.5,15.0,0.27,10.93
2018-10-05,3.30,11.8,16.6,21.3,13.1,0.25,6.64
2018-10-06,0.00,11.0,18.0,24.9,11.3,0.37,13.01
2018-10-07,0.00,10.0,17.8,25.6,6.9,0.28,16.52
2018-10-08,0.00,13.4,19.9,26.4,0.8,3.76,20.79
2018-10-09,0.00,13.2,21.0,28.9,7.8,2.43,20.46
2018-10-10,0.00,11.3,19.8,28.3,8.1,1.77,19.17
2018-10-11,0.00,8.8,17.4,26.0,5.2,1.41,17.98
2018-10-12,0.00,8.9,17.2,25.5,3.3,1.72,17.46
2018-10-13,0.00,9.3,19.1,28.9,-0.1,1.48,24.16
2018-10-14,0.00,8.9,19.9,30.9,-0.6,3.13,27.24
2018-10-15,0.00,10.3,17.9,25.6,-8.8,4.75,20.89
2018-10-16,0.00,8.0,17.8,27.6,-9.3,3.95,24.40
2018-10-17,0.00,8.7,19.3,29.8,-4.8,3.71,27.22
2018-10-18,0.00,7.6,18.0,28.5,0.3,2.59,23.52
2018-10-19,0.00,7.1,17.6,28.1,1.7,2.26,22.24
2018-10-20,0.00,8.0,19.0,30.0,1.4,2.84,25.46
2018-10-21,0.00,7.8,18.3,28.8,2.0,2.52,23.04
2018-10-22,0.00,7.5,18.0,28.5,2.2,1.10,22.43
2018-10-23,0.00,6.4,16.7,27.1,1.8,2.07,20.39
2018-10-24,0.00,6.1,14.6,23.2,4.4,0.65,13.89
2018-10-25,0.00,7.7,16.3,24.9,6.1,1.15,15.07
2018-10-26,0.00,8.0,18.5,29.0,4.9,0.90,22.34
2018-10-27,0.00,9.0,18.3,27.6,7.1,1.71,18.77
2018-10-28,0.00,8.7,17.7,26.6,9.4,0.67,15.70
2018-10-29,0.00,8.4,15.9,23.3,8.0,0.31,11.63
2018-10-30,0.00,7.4,14.7,21.9,2.1,0.81,13.91
2018-10-31,0.00,8.5,16.0,23.6,-3.2,3.05,17.40
2018-11-01,0.00,10.3,18.1,26.0,2.5,4.30,15.51
2018-11-02,0.00,10.8,19.9,29.0,6.7,3.34,18.45
2018-11-03,0.00,8.8,17.9,27.0,6.0,2.69,15.79
2018-11-04,0.00,11.0,19.8,28.7,-2.9,5.30,21.59
2018-11-05,0.00,8.5,17.5,26.5,0.3,4.03,18.21
2018-11-06,0.00,7.8,16.4,25.0,-3.8,3.53,16.96
2018-11-07,0.00,5.6,15.5,25.5,-7.9,3.80,18.36
2018-11-08,0.00,4.8,14.0,23.1,-7.8,3.42,15.33
2018-11-09,0.00,5.7,12.4,19.2,-12.3,4.29,11.85
2018-11-10,0.00,1.9,10.1,18.2,-9.6,2.03,11.16
2018-11-11,0.00,1.5,10.8,20.0,-7.9,2.68,12.21
2018-11-12,0.00,3.7,12.2,20.7,-11.1,3.46,13.53
2018-11-13,0.00,2.5,11.9,21.2,-9.2,3.03,14.02
2018-11-14,0.00,2.6,10.1,17.6,-6.4,2.85,10.25
2018-11-15,0.00,1.6,10.5,19.4,-6.5,2.70,11.65
2018-11-16,0.00,1.5,10.3,19.0,-5.3,2.52,10.92
2018-11-17,0.00,2.0,11.0,20.0,-4.4,2.60,11.64
2018-11-18,0.00,1.2,10.4,19.6,-4.1,2.14,11.27
2018-11-19,0.00,2.0,10.9,19.7,-2.7,2.35,10.73
2018-11-20,0.00,1.9,11.2,20.5,-2.9,2.21,11.76
2018-11-21,1.81,1.9,10.3,18.7,-0.8,1.40,9.78
2018-11-22,14.79,7.3,9.9,12.4,8.5,0.11,2.39
2018-11-23,7.37,7.9,11.1,14.4,8.3,0.07,3.77
2018-11-24,6.46,9.3,12.3,15.3,11.2,0.10,1.69
2018-11-25,0.00,6.5,11.8,17.1,8.5,0.12,5.39
2018-11-26,0.00,5.3,12.1,19.0,5.3,0.87,8.33
2018-11-27,0.00,5.4,11.0,16.5,6.4,0.34,5.47
2018-11-28,4.37,7.2,9.8,12.4,9.7,0.08,0.98
2018-11-29,24.08,9.1,12.3,15.5,10.2,0.06,3.20
2018-11-30,19.88,3.9,8.1,12.3,7.5,0.06,1.94
2018-12-01,1.07,3.2,8.8,14.4,4.2,0.01,8.84
2018-12-02,0.90,1.0,7.4,13.8,2.9,0.02,9.02
2018-12-03,0.00,-0.2,6.0,12.2,0.7,0.12,7.76
2018-12-04,0.00,0.3,5.4,10.5,-0.2,0.22,7.13
2018-12-05,0.85,5.4,8.6,11.8,1.2,0.25,7.53
2018-12-06,2.88,3.6,6.9,10.2,5.0,0.02,3.51
2018-12-07,0.00,2.1,8.8,15.5,2.5,0.15,10.20
2018-12-08,0.00,1.6,8.3,15.0,3.0,0.14,9.47
2018-12-09,0.00,1.8,9.0,16.2,3.7,0.16,10.14
2018-12-10,0.00,1.8,6.4,10.9,5.6,0.02,3.14
2018-12-11,0.00,3.9,9.9,15.9,4.3,0.02,9.61
2018-12-12,0.00,2.5,9.2,15.8,2.4,0.06,12.32
2018-12-13,0.00,2.4,9.6,16.7,-0.2,0.06,14.56
2018-12-14,0.00,1.8,8.5,15.3,-0.3,0.31,11.59
2018-12-15,2.51,3.3,8.2,13.1,6.2,0.02,5.39
2018-12-16,2.44,6.3,8.7,11.2,8.2,0.00,1.99
2018-12-17,22.92,5.8,9.1,12.3,9.0,0.00,2.63
2018-12-18,0.00,4.9,9.1,13.2,6.8,0.02,5.18
2018-12-19,0.63,4.5,9.3,14.1,8.6,0.01,4.06
2018-12-20,0.00,4.8,10.6,16.4,8.3,0.01,7.05
2018-12-21,5.62,5.9,8.5,11.2,8.2,0.00,2.06
2018-12-22,0.72,3.5,8.7,14.0,6.0,0.01,5.88
2018-12-23,0.00,2.0,6.8,11.6,2.0,0.30,7.12
2018-12-24,4.84,4.1,7.6,11.0,5.6,0.01,4.83
2018-12-25,7.92,3.9,7.7,11.5,6.6,0.00,2.32
2018-12-26,0.00,2.7,8.8,14.8,1.5,0.13,10.49
2018-12-27,0.00,1.5,8.3,15.2,0.8,0.15,11.64
2018-12-28,0.00,0.8,6.8,12.9,-3.1,0.36,10.81
2018-12-29,0.00,2.3,7.8,13.3,-5.1,0.58,11.74
2018-12-30,0.00,0.8,8.1,15.3,0.1,0.27,11.64
2018-12-31,0.00,1.1,7.7,14.3,1.7,0.14,8.37
2019-01-01,0.00,2.4,6.6,10.8,-7.6,0.86,12.77
2019-01-02,0.00,-0.5,6.2,12.8,-9.2,0.65,14.64
2019-01-03,0.00,-1.4,6.0,13.4,-3.0,0.32,15.07
2019-01-04,0.00,-1.5,5.1,11.8,-0.8,0.26,11.55
2019-01-05,0.61,0.1,6.2,12.4,-0.7,0.21,12.75
2019-01-06,14.85,2.0,5.8,9.5,4.1,0.05,5.10
2019-01-07,29.28,2.3,5.3,8.3,5.0,0.02,2.25
2019-01-08,0.71,3.2,6.4,9.7,6.1,0.01,2.99
2019-01-09,16.57,7.0,9.5,12.0,8.5,0.03,4.05
2019-01-10,4.21,4.7,9.0,13.4,8.8,0.02,4.58
2019-01-11,0.31,3.6,9.0,14.3,6.8,0.01,7.64
2019-01-12,1.25,5.7,8.2,10.8,7.3,0.02,2.89
2019-01-13,0.00,4.3,10.1,15.9,6.1,0.03,12.33
2019-01-14,0.00,3.5,9.3,15.2,5.1,0.06,10.97
2019-01-15,5.22,2.9,7.4,11.8,4.0,0.05,10.16
2019-01-16,24.84,6.6,8.4,10.1,7.2,0.03,2.58
2019-01-17,46.54,7.8,10.4,13.0,9.1,0.02,5.48
2019-01-18,5.51,6.3,9.3,12.3,5.9,0.10,7.58
2019-01-19,2.58,6.3,9.0,11.7,7.8,0.03,5.00
2019-01-20,1.84,8.6,11.6,14.5,10.4,0.01,4.03
2019-01-21,3.90,5.5,10.3,15.1,6.5,0.08,8.76
2019-01-22,0.00,2.0,7.8,13.7,2.1,0.14,11.95
2019-01-23,0.00,1.7,8.9,16.0,-1.9,0.45,17.96
2019-01-24,0.00,1.5,8.6,15.8,2.4,0.36,15.65
2019-01-25,0.00,4.1,11.6,19.1,2.3,0.36,21.55
2019-01-26,0.00,3.7,11.9,20.1,-0.5,0.91,23.20
2019-01-27,0.00,5.8,12.0,18.3,1.5,0.81,20.25
2019-01-28,0.00,4.9,13.1,21.2,4.0,0.62,24.65
2019-01-29,0.00,7.7,13.5,19.3,5.1,0.55,20.49
2019-01-30,0.00,7.2,13.5,19.8,6.9,0.44,18.94
2019-01-31,0.00,6.5,11.9,17.4,8.3,0.09,11.31
2019-02-01,0.00,5.9,12.4,18.9,7.6,0.31,5.78
2019-02-02,26.14,8.0,10.6,13.2,8.5,0.11,2.23
2019-02-03,21.81,7.2,9.9,12.6,7.7,0.17,1.95
2019-02-04,14.52,3.9,8.2,12.5,6.2,0.11,2.12
2019-02-05,2.85,-0.5,4.0,8.6,0.0,0.26,2.76
2019-02-06,0.00,-2.0,3.8,9.5,-2.4,0.27,3.73
2019-02-07,0.00,-2.0,4.1,10.2,-0.6,0.25,3.36
2019-02-08,0.00,-0.8,4.0,8.9,0.3,0.28,2.57
2019-02-09,3.39,1.9,5.0,8.1,2.0,0.17,2.17
2019-02-10,2.99,0.0,4.7,9.4,1.6,0.08,2.03
2019-02-11,0.02,-2.0,3.9,9.8,-2.3,0.32,3.76
2019-02-12,0.03,-1.6,4.0,9.5,0.8,0.25,2.50
2019-02-13,37.46,1.0,4.1,7.1,1.6,0.11,1.90
2019-02-14,66.17,2.1,5.9,9.7,4.9,0.00,0.45
2019-02-15,9.59,3.5,8.6,13.7,4.4,0.12,3.27
2019-02-16,3.02,2.0,6.0,10.0,1.6,0.27,2.95
2019-02-17,2.19,1.7,6.6,11.5,0.6,0.48,3.92
2019-02-18,0.66,-0.4,5.0,10.5,-1.7,0.21,3.74
2019-02-19,0.00,-0.6,5.5,11.6,-5.1,1.40,5.05
2019-02-20,0.00,-0.6,6.4,13.4,-2.4,0.77,5.37
2019-02-21,0.00,-0.0,6.3,12.6,-0.4,0.47,4.44
2019-02-22,0.00,-0.9,5.3,11.6,-6.6,0.73,5.15
2019-02-23,0.00,-1.6,5.8,13.2,-6.3,1.00,6.17
2019-02-24,0.00,-0.1,5.8,11.7,0.3,0.81,4.06
2019-02-25,1.06,4.2,8.0,11.8,4.4,0.39,2.72
2019-02-26,37.69,7.2,8.8,10.4,7.2,0.34,1.58
2019-02-27,52.59,8.6,9.9,11.2,7.8,0.47,1.45
2019-02-28,6.72,3.7,9.2,14.6,5.8,0.21,3.41
2019-03-01,0.00,2.0,7.6,13.2,1.6,0.21,6.73
2019-03-02,6.19,4.3,8.3,12.3,4.8,0.23,4.82
2019-03-03,7.91,6.4,9.4,12.4,8.1,0.07,2.33
2019-03-04,3.74,7.0,10.2,13.4,8.8,0.06,2.37
2019-03-05,0.00,7.0,10.3,13.6,7.0,0.19,4.55
2019-03-06,18.80,7.3,9.2,11.1,8.2,0.18,2.03
2019-03-07,5.39,5.7,10.5,15.3,8.1,0.01,5.13
2019-03-08,0.00,2.5,7.7,13.0,4.0,0.14,5.41
2019-03-09,0.97,2.4,7.2,12.0,1.3,0.28,6.05
2019-03-10,7.53,3.3,6.0,8.6,3.8,0.13,2.03
2019-03-11,1.14,3.2,7.9,12.6,3.6,0.23,5.09
2019-03-12,0.00,3.0,10.6,18.2,0.7,0.96,11.35
2019-03-13,0.00,2.0,9.2,16.3,-1.2,1.00,10.24
2019-03-14,0.00,1.1,8.2,15.4,-3.2,1.50,9.90
2019-03-15,0.00,2.3,10.3,18.4,-1.8,1.27,12.44
2019-03-16,0.00,3.8,12.0,20.1,0.1,1.55,13.61
2019-03-17,0.00,4.7,13.4,22.0,2.3,1.55,15.37
2019-03-18,0.00,5.6,13.9,22.3,4.6,1.31,14.00
2019-03-19,0.00,6.3,14.8,23.2,5.6,1.09,14.90
2019-03-20,4.46,7.3,14.3,21.2,6.2,0.37,12.15
2019-03-21,3.96,4.1,9.7,15.2,6.8,0.20,5.51
2019-03-22,0.00,3.8,10.4,17.1,4.7,0.27,8.87
2019-03-23,12.00,5.6,8.3,10.9,7.7,0.14,1.92
2019-03-24,3.03,3.7,9.6,15.5,6.1,0.15,6.26
2019-03-25,0.51,3.6,9.8,15.9,5.7,0.23,6.92
2019-03-26,8.76,6.5,10.0,13.5,7.9,0.14,3.76
2019-03-27,12.12,6.1,10.9,15.7,7.0,0.06,6.93
2019-03-28,3.64,6.3,11.6,16.8,6.1,0.28,7.59
2019-03-29,3.33,3.8,8.6,13.4,6.0,0.10,4.36
2019-03-30,0.01,3.3,10.0,16.6,4.8,0.21,8.12
2019-03-31,0.00,2.0,11.3,20.6,3.8,0.10,12.90
2019-04-01,0.00,9.5,16.3,23.1,4.3,1.69,20.32
2019-04-02,4.47,10.1,14.8,19.6,9.1,0.24,11.81
2019-04-03,2.33,7.9,12.5,17.0,9.3,0.07,7.20
2019-04-04,0.00,8.6,12.0,15.5,9.3,0.21,6.07
2019-04-05,0.25,9.4,13.1,16.7,8.5,0.21,8.48
2019-04-06,1.80,9.2,12.6,16.0,9.0,0.25,6.63
2019-04-07,0.00,10.5,13.7,16.9,10.2,0.45,6.80
2019-04-08,0.00,12.4,17.3,22.1,12.0,0.53,12.05
2019-04-09,0.28,8.4,14.6,20.8,10.8,0.60,9.29
2019-04-10,0.00,5.6,12.2,18.8,1.5,1.10,15.20
2019-04-11,0.00,5.1,13.2,21.4,2.7,1.43,17.57
2019-04-12,0.00,6.0,12.1,18.3,4.1,0.80,12.84
2019-04-13,0.00,6.4,14.2,22.1,4.5,1.05,18.15
2019-04-14,0.00,8.4,16.1,23.8,7.3,1.07,18.12
2019-04-15,0.00,7.1,14.2,21.3,4.8,0.94,15.86
2019-04-16,1.09,6.9,10.9,15.0,5.4,0.14,9.22
2019-04-17,0.00,6.3,12.9,19.5,6.7,0.17,12.94
2019-04-18,0.00,7.0,16.1,25.3,7.4,0.83,21.97
2019-04-19,0.00,10.2,19.1,28.1,10.5,1.52,24.35
2019-04-20,0.00,11.4,19.6,27.8,11.1,0.87,22.86
2019-04-21,0.03,7.6,14.3,21.1,8.8,0.38,12.90
2019-04-22,0.00,7.0,15.7,24.3,5.2,0.64,21.76
2019-04-23,0.00,10.0,19.4,28.9,4.9,2.70,31.78
2019-04-24,0.00,14.6,23.1,31.6,10.4,2.40,32.98
2019-04-25,0.00,14.5,23.1,31.7,11.8,2.13,31.93
2019-04-26,0.00,13.1,22.5,31.9,10.0,2.22,33.58
2019-04-27,0.00,12.1,21.3,30.5,8.0,2.21,32.60
2019-04-28,0.00,11.3,20.0,28.7,9.4,0.93,26.90
2019-04-29,0.00,10.5,18.7,26.9,10.0,0.48,23.17
2019-04-30,0.00,7.8,17.0,26.2,7.4,0.64,22.84
2019-05-01,0.00,6.5,13.6,20.7,4.7,0.70,14.95
2019-05-02,0.00,6.7,15.9,25.1,0.6,1.61,24.40
2019-05-03,0.00,7.6,17.0,26.5,3.1,1.80,25.42
2019-05-04,0.00,9.4,18.6,27.8,4.5,2.01,26.84
2019-05-05,0.00,8.7,18.2,27.7,4.6,1.73,27.84
2019-05-06,0.00,8.2,17.3,26.4,7.1,0.87,22.86
2019-05-07,0.00,9.0,16.5,24.0,9.3,0.45,15.91
2019-05-08,0.00,9.6,18.0,26.5,10.9,0.45,19.17
2019-05-09,0.00,11.7,20.4,29.1,10.5,0.72,26.06
2019-05-10,0.00,11.8,20.3,28.8,9.5,1.23,25.34
2019-05-11,0.00,10.9,20.5,30.1,3.9,1.09,34.01
2019-05-12,0.00,9.9,19.7,29.4,9.1,1.12,27.00
2019-05-13,0.00,10.5,19.8,29.0,8.6,1.20,26.16
2019-05-14,0.00,10.0,18.6,27.1,7.2,1.43,23.51
2019-05-15,0.00,11.6,16.4,21.1,9.6,1.32,11.95
2019-05-16,23.58,8.8,12.1,15.3,10.9,0.25,3.57
2019-05-17,0.07,8.0,11.4,14.7,7.2,0.46,5.88
2019-05-18,0.00,7.7,13.2,18.7,7.7,0.34,10.19
2019-05-19,14.44,6.9,9.5,12.1,8.0,0.11,3.33
2019-05-20,4.82,5.0,9.5,13.9,7.0,0.09,5.33
2019-05-21,2.87,5.0,12.3,19.6,7.1,0.11,11.91
2019-05-22,0.16,7.1,12.3,17.5,6.9,0.27,9.54
2019-05-23,0.00,6.9,15.3,23.7,7.8,0.35,17.26
2019-05-24,0.00,11.2,18.4,25.6,8.7,0.87,20.66
2019-05-25,0.00,10.0,17.4,24.8,11.5,0.48,14.72
2019-05-26,1.45,9.1,16.2,23.4,8.6,0.50,15.58
2019-05-27,3.17,8.0,12.0,16.0,7.4,0.34,7.55
2019-05-28,0.02,8.3,14.5,20.7,10.2,0.30,10.81
2019-05-29,0.00,11.0,19.5,28.0,11.1,0.56,23.46
2019-05-30,0.00,13.7,21.4,29.0,11.9,1.28,24.06
2019-05-31,8.04,12.7,20.0,27.3,12.3,1.04,19.38
2019-06-01,0.00,13.6,22.0,30.4,11.5,2.83,31.82
2019-06-02,0.00,15.9,24.1,32.3,12.4,3.35,35.59
2019-06-03,0.00,15.4,23.0,30.7,14.6,2.21,26.98
2019-06-04,0.00,16.0,24.4,32.7,14.8,2.36,31.46
2019-06-05,0.00,17.7,26.4,35.2,14.4,4.76,41.63
2019-06-06,0.00,15.6,24.9,34.3,11.5,5.36,40.49
2019-06-07,0.00,10.0,18.7,27.5,5.7,3.73,28.25
2019-06-08,0.00,10.0,17.3,24.5,-0.6,4.65,25.59
2019-06-09,0.00,13.8,21.0,28.2,-1.1,10.02,32.00
2019-06-10,0.00,14.7,23.7,32.7,4.1,7.06,42.04
2019-06-11,0.00,17.3,27.1,37.0,9.7,9.59,51.90
2019-06-12,0.00,19.3,28.4,37.5,11.0,10.33,52.46
2019-06-13,0.00,18.8,27.6,36.3,11.9,8.12,47.06
2019-06-14,0.00,16.8,25.3,33.7,11.7,5.53,38.78
2019-06-15,0.00,15.5,24.0,32.5,13.5,3.66,31.74
